#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         lina-combo-v1        -          cm        1       56     2831     2779      -    no    1 0.75   0.1   55.3   0.00021 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
JACRBA010000177.1    -         lina-combo-v1        -          cm        1       56    36826    36763      -    no    1 0.70   0.0   37.4       2.4 !   Burkholderiales bacterium isolate NC_groundwater_1608_Pr3_B-0.1um_71_17 SR-2_scaffold_141_3388466, whole genome shotgun sequence
QYPX01000089.1       -         lina-combo-v1        -          cm        1       56     5145     5202      +    no    1 0.66   0.0   37.4       2.4 !   Comamonadaceae bacterium isolate PowLak16_MAG17 c_000000065237, whole genome shotgun sequence
CAITZZ010000073.1    -         lina-combo-v1        -          cm        1       56     8969     9026      +    no    1 0.66   0.0   37.4       2.4 !   uncultured beta proteobacterium isolate Erken-D11_bin-1404 genome assembly, contig: bin-1404:073/439, whole genome shotgun sequence
NZ_MUIN01000007.1    -         lina-combo-v1        -          cm        1       56   368864   368925      +    no    1 0.58   0.0   37.4       2.4 !   Pseudomonas sp. Bc-h sc_007, whole genome shotgun sequence
NZ_UUOC01000047.1    -         lina-combo-v1        -          cm        1       56   132538   132599      +    no    1 0.58   0.0   37.4       2.4 !   Pseudomonas viridiflava isolate p4.B4, whole genome shotgun sequence
JACPIU010000019.1    -         lina-combo-v1        -          cm        1       56    55328    55381      +    no    1 0.63   0.0   37.4       2.4 !   Bdellovibrio sp. isolate NC_groundwater_449_Ag_S-0.1um_43_11 S35_SO-1_scaffold_198655, whole genome shotgun sequence
JACQWT010000254.1    -         lina-combo-v1        -          cm        1       56    29791    29736      -    no    1 0.71   0.3   37.4       2.4 !   Deltaproteobacteria bacterium isolate NC_groundwater_1496_Pr4_B-0.1um_72_3 SR1-18-B1_scaffold_261685, whole genome shotgun sequence
NZ_JAHKRT010000003.1 -         lina-combo-v1        -          cm        1       56   263760   263822      +    no    1 0.68   0.0   37.4       2.4 !   Sphingomonas sp. XMGL2 seq3, whole genome shotgun sequence
NZ_CP077075.1        -         lina-combo-v1        -          cm        1       56  3508399  3508337      -    no    1 0.60   0.0   37.3       2.4 !   Pseudomonas sp. COR54 chromosome, complete genome
MGQB01000026.1       -         lina-combo-v1        -          cm        1       56    63475    63424      -    no    1 0.62   0.0   37.3       2.4 !   Deltaproteobacteria bacterium RBG_13_43_22 RBG_13_scaffold_4, whole genome shotgun sequence
NZ_MSQD01000017.1    -         lina-combo-v1        -          cm        1       56    11660    11709      +    no    1 0.46   0.0   37.3       2.4 !   Thermoanaerobacterium sp. PSU-2 contig00017, whole genome shotgun sequence
SCVW01000016.1       -         lina-combo-v1        -          cm        1       56   161421   161362      -    no    1 0.47   0.0   37.3       2.5 !   Smithella sp. isolate SDB_sulfate1 contig-3000001, whole genome shotgun sequence
NZ_MZGT01000071.1    -         lina-combo-v1        -          cm        1       56     6974     6918      -    no    1 0.40   0.0   37.3       2.5 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000071, whole genome shotgun sequence
PDZT01000359.1       -         lina-combo-v1        -          cm        1       56     3674     3622      -    no    1 0.53   0.0   37.3       2.5 !   Deltaproteobacteria bacterium YD0425bin50 scaffold4364, whole genome shotgun sequence
NZ_CP062167.1        -         lina-combo-v1        -          cm        1       56  2260375  2260434      +    no    1 0.65   0.0   37.3       2.5 !   Aureimonas sp. OT7 chromosome, complete genome
NZ_QAYX01000020.1    -         lina-combo-v1        -          cm        1       56   372205   372153      -    no    1 0.72   0.0   37.3       2.5 !   Opitutus sp. ER46 ER46_contig_9_coverage:, whole genome shotgun sequence
NZ_RCOG01000024.1    -         lina-combo-v1        -          cm        1       56    21432    21488      +    no    1 0.67   0.0   37.3       2.5 !   Cupriavidus necator strain U2 scaffold_23, whole genome shotgun sequence
NZ_CP009268.1        -         lina-combo-v1        -          cm        1       56  3036548  3036605      +    no    1 0.36   0.0   37.3       2.5 !   Clostridium pasteurianum DSM 525 = ATCC 6013 strain DSM 525 chromosome, complete genome
CAISLL010000313.1    -         lina-combo-v1        -          cm        1       56      436      379      -    no    1 0.66   0.0   37.3       2.5 !   uncultured beta proteobacterium isolate Erken-D11_bin-0522 genome assembly, contig: bin-0522:313/420, whole genome shotgun sequence
NZ_VDND01000003.1    -         lina-combo-v1        -          cm        1       56   189827   189886      +    no    1 0.75   0.3   37.2       2.6 !   Pseudomonas psychrotolerans strain DE0602 NODE_3_length_541526_cov_35.032368, whole genome shotgun sequence
CACVCF010000523.1    -         lina-combo-v1        -          cm        1       56     4097     4159      +    no    1 0.73   0.3   37.2       2.6 !   Terasakiella sp. PR1 genome assembly, contig: MCP1_Contig_57, whole genome shotgun sequence
JADJQX010000001.1    -         lina-combo-v1        -          cm        1       56   237454   237506      +    no    1 0.79   0.5   37.2       2.6 !   Myxococcales bacterium isolate Fred_18-Q3-R57-64_MAXAC.347 tig00000646-10-27274520, whole genome shotgun sequence
NZ_LR733844.1        -         lina-combo-v1        -          cm        1       56  3002781  3002833      +    no    1 0.74   0.3   37.2       2.6 !   Sphingomonas sp. 8AM isolate Sphingomonas sp. 8AM, whole genome shotgun sequence
MVQR01000007.1       -         lina-combo-v1        -          cm        1       56    18319    18370      +    no    1 0.54   0.0   37.2       2.6 !   Syntrophus sp. PtaB.Bin001 A4E66_contig000007, whole genome shotgun sequence
NZ_QJRF01000040.1    -         lina-combo-v1        -          cm        1       56   256489   256546      +    no    1 0.64   0.0   37.2       2.6 !   Pseudomonas taiwanensis strain xwS3 261, whole genome shotgun sequence
NZ_CP066783.1        -         lina-combo-v1        -          cm        1       56  1089165  1089102      -    no    1 0.69   0.0   37.2       2.6 !   Comamonas sp. CJ34 chromosome, complete genome
NC_015556.1          -         lina-combo-v1        -          cm        1       56  2365079  2365135      +    no    1 0.68   0.1   37.2       2.6 !   Pseudomonas fulva 12-X, complete sequence
NZ_MSXW01000008.1    -         lina-combo-v1        -          cm        1       56   100793   100737      -    no    1 0.68   0.1   37.2       2.6 !   Pseudomonas sp. PA27(2017) strain PA27 NODE_8_length_204025_cov_78.447632, whole genome shotgun sequence
NZ_FOMO01000005.1    -         lina-combo-v1        -          cm        1       56   462586   462530      -    no    1 0.68   0.1   37.2       2.6 !   Pseudomonas straminea strain JCM 2783, whole genome shotgun sequence
NZ_VWRN01000015.1    -         lina-combo-v1        -          cm        1       56    53450    53401      -    no    1 0.76   0.0   37.2       2.6 !   Cupriavidus cauae strain MKL-01 contig16, whole genome shotgun sequence
NZ_CP073653.1        -         lina-combo-v1        -          cm        1       56  3352670  3352614      -    no    1 0.37   0.0   37.2       2.6 !   Clostridium beijerinckii strain DSM 791 chromosome, complete genome
NZ_CM001240.1        -         lina-combo-v1        -          cm        1       56  4935517  4935461      -    no    1 0.37   0.0   37.2       2.6 !   Clostridium sp. DL-VIII chromosome, whole genome shotgun sequence
NZ_JH992924.1        -         lina-combo-v1        -          cm        1       56  1064718  1064772      +    no    1 0.73   0.0   37.2       2.6 !   Massilia timonae CCUG 45783 supercont1.3, whole genome shotgun sequence
NZ_BBJH01000012.1    -         lina-combo-v1        -          cm        1       56     9244     9188      -    no    1 0.68   0.0   37.2       2.6 !   Paraburkholderia heleia NBRC 101817, whole genome shotgun sequence
JAFGBI010000386.1    -         lina-combo-v1        -          cm        1       56     1533     1600      +    no    1 0.68   0.0   37.2       2.6 !   Polyangiaceae bacterium isolate Zod_Metabat.1029 k87_12417638, whole genome shotgun sequence
NZ_JACHKZ010000009.1 -         lina-combo-v1        -          cm        1       56    37233    37286      +    no    1 0.69   0.0   37.2       2.6 !   Comamonas odontotermitis strain S00124 Ga0436309_09, whole genome shotgun sequence
NZ_FOVU01000002.1    -         lina-combo-v1        -          cm        1       56   839391   839339      -    no    1 0.74   0.0   37.2       2.7 !   Bradyrhizobium sp. Ghvi, whole genome shotgun sequence
DFAQ01000056.1       -         lina-combo-v1        -          cm        1       56     4599     4548      -    no    1 0.56   0.0   37.2       2.7 !   MAG TPA_asm: Pelotomaculum sp. UBA3102 UBA3102_contig_532, whole genome shotgun sequence
NZ_LUKD01000001.1    -         lina-combo-v1        -          cm        1       56   930296   930245      -    no    1 0.48   0.0   37.2       2.7 !   Bdellovibrio bacteriovorus strain EC13 contig_1, whole genome shotgun sequence
NZ_FRCX01000004.1    -         lina-combo-v1        -          cm        1       56    85626    85574      -    no    1 0.72   0.0   37.2       2.7 !   Duganella sacchari strain Sac-22, whole genome shotgun sequence
JAEUJY010000141.1    -         lina-combo-v1        -          cm        1       56    44990    44941      -    no    1 0.76   0.0   37.2       2.7 !   Myxococcales bacterium isolate new MAG-81 k141_3337997, whole genome shotgun sequence
NZ_BCTJ01000006.1    -         lina-combo-v1        -          cm        1       56   108359   108307      -    no    1 0.70   0.0   37.1       2.7 !   Hydrogenophaga palleronii NBRC 102513, whole genome shotgun sequence
WOZK01000007.1       -         lina-combo-v1        -          cm        3       56     3159     3211      +    no    1 0.53   0.0   37.1       2.7 !   Candidatus Omnitrophica bacterium isolate WOFB22 NODE_163_length_62509_cov_57.278557, whole genome shotgun sequence
DTJV01000407.1       -         lina-combo-v1        -          cm        1       56     4518     4465      -    no    1 0.67   0.0   37.1       2.7 !   TPA_asm: Verrucomicrobia subdivision 3 bacterium isolate SpSt-840 Ga0123519_10014181, whole genome shotgun sequence
JADBDQ010000001.1    -         lina-combo-v1        -          cm        1       56   220666   220721      +    no    1 0.70   0.0   37.1       2.7 !   Comamonadaceae bacterium OAS658 Ga0395959_01, whole genome shotgun sequence
JADJWF010000004.1    -         lina-combo-v1        -          cm        1       56   513028   512976      -    no    1 0.68   0.0   37.1       2.7 !   Verrucomicrobia bacterium isolate Kalu_18-Q3-R12-55_BAT3C.19 tig00001690-10-8244670, whole genome shotgun sequence
NZ_QNRX01000010.1    -         lina-combo-v1        -          cm        1       56    52233    52181      -    no    1 0.43   0.0   37.1       2.7 !   Alkalibaculum bacchi strain DSM 22112 Ga0244545_110, whole genome shotgun sequence
JADFDL010000011.1    -         lina-combo-v1        -          cm        1       56    16188    16139      -    no    1 0.70   0.0   37.1       2.8 !   Rhodocyclaceae bacterium isolate QR_Bin.19 NODE_11_length_17071_cov_16.252, whole genome shotgun sequence
NZ_ALJC01000018.1    -         lina-combo-v1        -          cm        1       56     5311     5368      +    no    1 0.69   0.0   37.1       2.8 !   Pseudomonas psychrophila HA-4 contig000018, whole genome shotgun sequence
PEYI01000043.1       -         lina-combo-v1        -          cm        1       56     4096     4042      -    no    1 0.56   0.0   37.1       2.8 !   Candidatus Omnitrophica bacterium CG08_land_8_20_14_0_20_41_16 CG08_land_8_20_14_0.20_scaffold_3078_c, whole genome shotgun sequence
JADKCG010000017.1    -         lina-combo-v1        -          cm        1       56   108812   108870      +    no    1 0.61   0.0   37.1       2.8 !   Elusimicrobia bacterium isolate OdNE_18-Q3-R46-58_BATAC.493 tig00014497-10-1169600, whole genome shotgun sequence
JAAYKM010000008.1    -         lina-combo-v1        -          cm        1       56     6110     6174      +    no    1 0.65   0.0   37.1       2.8 !   Deltaproteobacteria bacterium isolate AS10tlH2TH_430 13670_AS10, whole genome shotgun sequence
NZ_JACHCZ010000003.1 -         lina-combo-v1        -          cm        1       56   238296   238235      -    no    1 0.61   0.0   37.1       2.8 !   Pseudomonas sp. JAI120 Ga0401626_03, whole genome shotgun sequence
NZ_CP029758.2        -         lina-combo-v1        -          cm        1       56   944596   944655      +    no    1 0.33   0.0   37.0       2.8 !   Clostridium sp. AWRP chromosome, complete genome
NC_014328.1          -         lina-combo-v1        -          cm        1       56   993388   993447      +    no    1 0.33   0.0   37.0       2.8 !   Clostridium ljungdahlii DSM 13528, complete sequence
NZ_LROS01000008.1    -         lina-combo-v1        -          cm        1       56     4175     4116      -    no    1 0.33   0.0   37.0       2.8 !   Clostridium ragsdalei P11 CLRAG_contig000008, whole genome shotgun sequence
CP063848.1           -         lina-combo-v1        -          cm        1       56  1924150  1924097      -    no    1 0.70   0.0   37.0       2.8 !   Massilia sp. UMI-21 chromosome, complete genome
NZ_JAEDAL010000006.1 -         lina-combo-v1        -          cm        1       56   116874   116817      -    no    1 0.76   0.2   37.0       2.9 !   Inhella gelatinilytica strain 4Y10 NODE_6_length_202697_cov_80.708604, whole genome shotgun sequence
JAEUJS010000187.1    -         lina-combo-v1        -          cm        1       56     7544     7592      +    no    1 0.71   0.0   37.0       2.9 !   Archangium sp. isolate new MAG-75 k141_500013, whole genome shotgun sequence
NZ_PREX01000001.1    -         lina-combo-v1        -          cm        1       56    36501    36454      -    no    1 0.46   0.0   37.0       2.9 !   Alkalibacterium sp. MB6 NODE_1_length_217741_cov_105.947, whole genome shotgun sequence
NZ_BLJO01000013.1    -         lina-combo-v1        -          cm        1       56    59574    59628      +    no    1 0.73   0.0   37.0       2.9 !   Steroidobacter sp. SA29-B sequence13, whole genome shotgun sequence
JAEUHU010000151.1    -         lina-combo-v1        -          cm        1       56     3947     4000      +    no    1 0.78   0.5   37.0       2.9 !   Planctomycetes bacterium isolate new MAG-25 k141_328649, whole genome shotgun sequence
NC_022571.1          -         lina-combo-v1        -          cm        1       56  3660358  3660300      -    no    1 0.39   0.0   37.0       2.9 !   Clostridium saccharobutylicum DSM 13864, complete sequence
JADJLP010000001.1    -         lina-combo-v1        -          cm        1       56  1331010  1331067      +    no    1 0.69   0.0   37.0         3 !   Burkholderiales bacterium isolate EsbW_18-Q3-R4-48_BAT3C.207 tig00000406-10-18338610, whole genome shotgun sequence
NZ_JAAMQI010000002.1 -         lina-combo-v1        -          cm        1       56   236089   236027      -    no    1 0.63   0.0   37.0         3 !   Pseudomonas entomophila strain 4A7 NODE_2_length_256459_cov_78.048336, whole genome shotgun sequence
NZ_FCOG02000043.1    -         lina-combo-v1        -          cm        1       56    48243    48299      +    no    1 0.70   0.0   37.0         3 !   Caballeronia arationis isolate LMG 29324, whole genome shotgun sequence
MHXU01000122.1       -         lina-combo-v1        -          cm        1       56      671      613      -    no    1 0.56   0.0   36.9         3 !   Planctomycetes bacterium GWC2_45_44 gwc2_scaffold_35769, whole genome shotgun sequence
NZ_CP009455.1        -         lina-combo-v1        -          cm        1       56  1605396  1605334      -    no    1 0.59   0.0   36.9         3 !   Pseudomonas cremoricolorata strain ND07 chromosome, complete genome
NZ_JNIJ01000093.1    -         lina-combo-v1        -          cm        1       56     3732     3784      +    no    1 0.66   0.0   36.9         3 !   Bradyrhizobium sp. URHD0069 N554DRAFT_scaffold00090.90_C, whole genome shotgun sequence
NZ_SMFY01000002.1    -         lina-combo-v1        -          cm        1       56  1281110  1281052      -    no    1 0.69   0.0   36.9         3 !   Ancylobacter aquaticus strain DSM 101 Ga0310526_102, whole genome shotgun sequence
DIFE01000066.1       -         lina-combo-v1        -          cm        1       56   147811   147754      -    no    1 0.60   0.0   36.9         3 !   TPA_asm: Deltaproteobacteria bacterium UBA5756 UBA5756_contig_1786, whole genome shotgun sequence
JAFKGD010000004.1    -         lina-combo-v1        -          cm        1       56   274852   274905      +    no    1 0.74   0.0   36.9         3 !   Burkholderiales bacterium isolate SCN18_30_10_14_R3_P_68_190 SCN18_30_10_14_R3_P_scaffold_39, whole genome shotgun sequence
NZ_FOSJ01000004.1    -         lina-combo-v1        -          cm        1       56     9169     9216      +    no    1 0.48   0.0   36.9         3 !   Marinilactibacillus piezotolerans strain DSM 16108, whole genome shotgun sequence
NZ_FMZD01000001.1    -         lina-combo-v1        -          cm        1       56    23817    23770      -    no    1 0.48   0.0   36.9         3 !   Marinilactibacillus psychrotolerans strain DSM 19582, whole genome shotgun sequence
NZ_CP029552.1        -         lina-combo-v1        -          cm        1       56  3337985  3338041      +    no    1 0.74   0.2   36.9       3.1 !   Methylobacterium sp. 17Sr1-1 chromosome, complete genome
JAGXTA010000105.1    -         lina-combo-v1        -          cm        1       56    29932    29869      -    no    1 0.52   0.0   36.9       3.1 !   Deltaproteobacteria bacterium isolate CROMO_BS_46_3 c_000000564769, whole genome shotgun sequence
JADJBM010000004.1    -         lina-combo-v1        -          cm        1       56    26052    26003      -    no    1 0.76   0.0   36.9       3.1 !   Betaproteobacteria bacterium isolate AalW_18-Q3-R10-53_MAXAC.393 tig00009216-10-3237160, whole genome shotgun sequence
NZ_FOBL01000001.1    -         lina-combo-v1        -          cm        1       56   139819   139772      -    no    1 0.46   0.0   36.9       3.1 !   Alkalibacterium putridalgicola strain DSM 19182, whole genome shotgun sequence
DNYO01000319.1       -         lina-combo-v1        -          cm        1       56     1424     1366      -    no    1 0.59   0.0   36.9       3.1 !   TPA_asm: Deltaproteobacteria bacterium isolate UBA8936 contig_29882, whole genome shotgun sequence
NZ_FOVJ01000003.1    -         lina-combo-v1        -          cm        1       56    13248    13298      +    no    1 0.69   0.0   36.9       3.1 !   Nitrosospira briensis strain Nsp8, whole genome shotgun sequence
JAHIYJ010000103.1    -         lina-combo-v1        -          cm        1       56     1796     1851      +    no    1 0.55   0.0   36.9       3.1 !   MAG: Candidatus Omnitrophica bacterium isolate Modern_marine.mb.11 Modern_marine.mb.11_k141_2096924, whole genome shotgun sequence
MHGA01000006.1       -         lina-combo-v1        -          cm        1       56    49231    49182      -    no    1 0.66   0.0   36.8       3.2 !   Omnitrophica WOR_2 bacterium GWA2_63_20 gwa2_scaffold_1397, whole genome shotgun sequence
NZ_JABWRZ020000001.1 -         lina-combo-v1        -          cm        1       56  2575589  2575527      -    no    1 0.67   0.0   36.8       3.2 !   Pseudomonas sp. RD9SR1 1, whole genome shotgun sequence
JABLXY010000002.1    -         lina-combo-v1        -          cm        1       56   676158   676210      +    no    1 0.64   0.0   36.8       3.2 !   Syntrophaceae bacterium isolate Ch3 Scaffold3, whole genome shotgun sequence
NZ_AZQP01000014.1    -         lina-combo-v1        -          cm        1       56    20753    20807      +    no    1 0.44   0.0   36.8       3.2 !   Fervidicella metallireducens AeB contig00014, whole genome shotgun sequence
NZ_LR594675.1        -         lina-combo-v1        -          cm        1       56  5704254  5704203      -    no    1 0.73   0.0   36.8       3.2 !   Variovorax sp. PBS-H4 chromosome 1
JAEUPY010000019.1    -         lina-combo-v1        -          cm        1       56     4675     4728      +    no    1 0.67   0.0   36.8       3.2 !   Steroidobacter sp. isolate new MAG-237 k141_308616, whole genome shotgun sequence
DOMD01000033.1       -         lina-combo-v1        -          cm        1       56       79      146      +    no    1 0.50   0.0   36.8       3.3 !   TPA_asm: Candidatus Omnitrophica bacterium isolate UBA12090 contig_18640, whole genome shotgun sequence
JADBKJ010000012.1    -         lina-combo-v1        -          cm        1       56    93448    93503      +    no    1 0.48   0.0   36.7       3.3 !   Thermoanaerobacter sp. isolate Bu09 bin.9_contig12, whole genome shotgun sequence
CP033580.1           -         lina-combo-v1        -          cm        1       56   703492   703437      -    no    1 0.48   0.0   36.7       3.3 !   Thermoanaerobacter ethanolicus JW 200 chromosome, complete genome
AVAF01000087.1       -         lina-combo-v1        -          cm        1       56    34178    34123      -    no    1 0.48   0.0   36.7       3.3 !   Thermoanaerobacter sp. A7A NODE_2627.15_length_58182_cov_149.272034, whole genome shotgun sequence
JACQYK010000228.1    -         lina-combo-v1        -          cm        1       56     4056     4107      +    no    1 0.67   0.0   36.7       3.3 !   Deltaproteobacteria bacterium isolate NC_groundwater_1539_Pr4_S-0.65um_50_9 SR1-18-Sp65_coassembly_scaffold_230019, whole genome shotgun sequence
NZ_JABBNI010000018.1 -         lina-combo-v1        -          cm        1       56     3547     3603      +    no    1 0.33   0.0   36.7       3.3 !   Clostridium sp. P21 NODE_23_length_94002_cov_128.626290, whole genome shotgun sequence
NZ_CP009933.1        -         lina-combo-v1        -          cm        1       56  2733967  2733911      -    no    1 0.33   0.0   36.7       3.3 !   Clostridium scatologenes strain ATCC 25775 chromosome, complete genome
NZ_JIBU02000072.1    -         lina-combo-v1        -          cm        1       56    25650    25594      -    no    1 0.33   0.0   36.7       3.3 !   Clostridium drakei strain SL1 contig_72, whole genome shotgun sequence
VEPD01000352.1       -         lina-combo-v1        -          cm        1       56      617      561      -    no    1 0.51   0.0   36.7       3.3 !   MAG: Ruminiclostridium sp. isolate MnB_11 Mn-Ruminiclostridium-1_247103, whole genome shotgun sequence
NZ_MSXV01000038.1    -         lina-combo-v1        -          cm        1       56    11034    10978      -    no    1 0.67   0.0   36.7       3.4 !   Pseudomonas sp. PA15(2017) strain PA15 NODE_53_length_72439_cov_32.087383, whole genome shotgun sequence
NZ_JSAB01000335.1    -         lina-combo-v1        -          cm        1       56    10380    10327      -    no    1 0.70   0.0   36.7       3.4 !   Massilia aurea strain CFS-1 NODE_545, whole genome shotgun sequence
NZ_LWAE01000007.1    -         lina-combo-v1        -          cm        1       56   174620   174567      -    no    1 0.48   0.0   36.7       3.4 !   Clostridium magnum DSM 2767 CLMAG_contig000007, whole genome shotgun sequence
NC_020291.1          -         lina-combo-v1        -          cm        1       56  3100931  3100987      +    no    1 0.37   0.0   36.7       3.4 !   Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence
JACPAY010000004.1    -         lina-combo-v1        -          cm        1       56   120225   120275      +    no    1 0.71   0.0   36.7       3.4 !   Candidatus Omnitrophica bacterium isolate NC_groundwater_243_Ag_S-0.2um_69_17 S5_GD2017_2_S2_scaffold_378, whole genome shotgun sequence
NZ_CP030055.1        -         lina-combo-v1        -          cm        1       56  4951248  4951196      -    no    1 0.74   0.0   36.7       3.4 !   Bradyrhizobium sp. CCBAU 53340 chromosome, complete genome
JACQDW010000038.1    -         lina-combo-v1        -          cm        1       56    24533    24482      -    no    1 0.62   0.0   36.7       3.5 !   Burkholderiales bacterium isolate NC_groundwater_1005_Pr1_S-0.65um_49_9 Montesol18_Sp65_coassembly_scaffold_242558, whole genome shotgun sequence
JACQZP010000026.1    -         lina-combo-v1        -          cm        1       56   227736   227677      -    no    1 0.43   0.0   36.7       3.5 !   MAG: Acetobacterium woodii isolate NC_groundwater_1570_Pr3_B-0.1um_42_151 SR-2_scaffold_141_2456125, whole genome shotgun sequence
JADKKI010000035.1    -         lina-combo-v1        -          cm        1       56    41846    41798      -    no    1 0.69   0.0   36.6       3.5 !   Myxococcales bacterium isolate Vibo_18-Q3-R45-57_MAXAC.190 tig00008523-10-1075490, whole genome shotgun sequence
JAENZP010000003.1    -         lina-combo-v1        -          cm        1       56    40013    39952      -    no    1 0.48   0.0   36.6       3.5 !   MAG: Desulfallas geothermicus isolate BM5_bin.10 BM5_bin10_NODE_11_length_294502_cov_220.472465, whole genome shotgun sequence
NZ_MLCO01000091.1    -         lina-combo-v1        -          cm        1       56     4653     4598      -    no    1 0.71   0.1   36.6       3.5 !   Roseomonas deserti strain M3 M3_S294_L001_R1_001_(paired)_contig_91, whole genome shotgun sequence
NZ_WJBU01000011.1    -         lina-combo-v1        -          cm        1       56   157425   157372      -    no    1 0.74   0.0   36.6       3.5 !   Caenimonas koreensis DSM 17982 strain EMB320 Scaffold9_1, whole genome shotgun sequence
JAGDMS010000283.1    -         lina-combo-v1        -          cm        1       56     2277     2330      +    no    1 0.70   0.0   36.6       3.6 !   Deltaproteobacteria bacterium isolate CTSoil_040 scaffold_16009, whole genome shotgun sequence
MHBM01000118.1       -         lina-combo-v1        -          cm        1       56     7180     7234      +    no    1 0.55   0.0   36.6       3.6 !   Lentisphaerae bacterium RIFOXYA12_FULL_48_11 rifixya3_full_scaffold_2641, whole genome shotgun sequence
NZ_JAEEGC010000026.1 -         lina-combo-v1        -          cm        1       56   100880   100824      -    no    1 0.40   0.0   36.6       3.6 !   Clostridium sp. PL3 NG-25456_PL3_lib407054_6879_1_1_contig_26, whole genome shotgun sequence
NZ_JAAAPO010000004.1 -         lina-combo-v1        -          cm        1       56   302082   302026      -    no    1 0.60   0.0   36.6       3.6 !   Novosphingobium sp. FSY-8 contig00004, whole genome shotgun sequence
NZ_FWDP01000004.1    -         lina-combo-v1        -          cm        1       56   201917   201964      +    no    1 0.48   0.0   36.6       3.6 !   Marinilactibacillus piezotolerans strain Marseille-P2378, whole genome shotgun sequence
JAFGLY010000107.1    -         lina-combo-v1        -          cm        1       56    11635    11579      -    no    1 0.81   4.0   36.6       3.6 !   Deltaproteobacteria bacterium isolate Zod_Metabat.425 k87_3119198, whole genome shotgun sequence
NZ_LGSZ01000009.1    -         lina-combo-v1        -          cm        1       56   158335   158392      +    no    1 0.79   1.7   36.6       3.6 !   Bosea vaviloviae strain SD260 contig_7, whole genome shotgun sequence
NZ_RXHQ01000007.1    -         lina-combo-v1        -          cm        1       56   107884   107827      -    no    1 0.43   0.0   36.6       3.6 !   Xylanivirga thermophila strain SYSU GA17129 Scaffold7_1, whole genome shotgun sequence
NZ_JADWYS010000001.1 -         lina-combo-v1        -          cm        1       56  4434093  4434143      +    no    1 0.67   0.0   36.5       3.7 !   Caenimonas sp. DR4.4 contig1, whole genome shotgun sequence
NZ_QAJN01000027.1    -         lina-combo-v1        -          cm        1       56    28997    29054      +    no    1 0.64   0.0   36.5       3.7 !   Paucibacter sp. KBW04 KBW4_TGACCA_contig_27, whole genome shotgun sequence
NZ_JAHCDD010000030.1 -         lina-combo-v1        -          cm        1       56    56437    56384      -    no    1 0.65   0.0   36.5       3.8 !   Acidovorax sp. CCYZU-2555 30, whole genome shotgun sequence
NZ_CXOP01000001.1    -         lina-combo-v1        -          cm        1       56   508264   508212      -    no    1 0.58   0.0   36.5       3.8 !   Limnohabitans sp. 2KL-27, whole genome shotgun sequence
NZ_JABEQF010000005.1 -         lina-combo-v1        -          cm        1       56   287868   287923      +    no    1 0.71   0.0   36.5       3.8 !   Gluconacetobacter azotocaptans strain LMG 21311 contig00005, whole genome shotgun sequence
MVRP01000001.1       -         lina-combo-v1        -          cm        1       56    47994    48052      +    no    1 0.56   0.0   36.5       3.8 !   MAG: Syntrophorhabdaceae bacterium PtaU1.Bin034 A4E57_contig000001, whole genome shotgun sequence
NZ_JADLZT010000006.1 -         lina-combo-v1        -          cm        1       56   378007   378053      +    no    1 0.77   0.0   36.5       3.8 !   Lysobacter niastensis strain DSM 18481 Contig_6, whole genome shotgun sequence
NZ_AUEA01000011.1    -         lina-combo-v1        -          cm        1       56    40112    40049      -    no    1 0.59   0.0   36.4       3.9 !   Pseudomonas cremoricolorata DSM 17059 = NBRC 16634 strain DSM 17059 H618DRAFT_scaffold00010.10_C, whole genome shotgun sequence
JAFGLS010000163.1    -         lina-combo-v1        -          cm        1       56    20001    19944      -    no    1 0.50   0.0   36.4       3.9 !   Syntrophaceae bacterium isolate Zod_Metabat.41 k87_8721488, whole genome shotgun sequence
NZ_QFGA01000001.1    -         lina-combo-v1        -          cm        1       56  1700553  1700493      -    no    1 0.56   0.0   36.4       3.9 !   Pelotomaculum schinkii strain HH Psch_contig000001, whole genome shotgun sequence
JAEURP010000007.1    -         lina-combo-v1        -          cm        1       56    22267    22221      -    no    1 0.77   0.2   36.4       3.9 !   Chthonomonas sp. isolate new MAG-280 k141_3541005, whole genome shotgun sequence
NZ_SACO01000031.1    -         lina-combo-v1        -          cm        1       56     1178     1234      +    no    1 0.65   0.0   36.4         4 !   Novosphingobium umbonatum strain FSY-9 NODE_31_length_6049_cov_98, whole genome shotgun sequence
NZ_JAHSPR010000002.1 -         lina-combo-v1        -          cm        1       56   378801   378859      +    no    1 0.59   0.0   36.4         4 !   Advenella alkanexedens strain LAM0050 Scaffold2_1, whole genome shotgun sequence
NZ_JAENGP010000028.1 -         lina-combo-v1        -          cm        1       56    13455    13513      +    no    1 0.59   0.0   36.4         4 !   Advenella sp. WQ 585 Scaffold26_1, whole genome shotgun sequence
