#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_SEIL01000087.1    -         nhaA-I               RF03057    cm        1       55      289      239      -    no    1 0.49   0.0   51.0   8.5e-07 !   Acinetobacter lwoffii strain AL_065 NODE_83_length_12254_cov_23.0646, whole genome shotgun sequence
NZ_NNIT01000582.1    -         nhaA-I               RF03057    cm       41       50      147      156      +    no    1 0.90   0.0   10.1     7e+03 ?   Vibrio parahaemolyticus strain D6_2 D6_2_contig582, whole genome shotgun sequence
NZ_VOBU01000153.1    -         nhaA-I               RF03057    cm       41       50      330      339      +    no    1 0.90   0.0   10.1     7e+03 ?   Xanthomonas vasicola strain BRIP-39150 scaffold_152, whole genome shotgun sequence
NZ_JACJNF010000002.1 -         nhaA-I               RF03057    cm       41       50    20457    20448      -    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_02, whole genome shotgun sequence
NZ_JACJNF010000013.1 -         nhaA-I               RF03057    cm       41       50   103082   103091      +    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_13, whole genome shotgun sequence
NZ_JACJNF010000014.1 -         nhaA-I               RF03057    cm       41       50    40977    40968      -    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_14, whole genome shotgun sequence
NZ_JACJNC010000007.1 -         nhaA-I               RF03057    cm       41       50    39273    39264      -    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_07, whole genome shotgun sequence
NZ_JACJNC010000038.1 -         nhaA-I               RF03057    cm       41       50    39092    39101      +    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_38, whole genome shotgun sequence
NZ_JACJMT010000015.1 -         nhaA-I               RF03057    cm       41       50    80766    80775      +    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_15, whole genome shotgun sequence
NZ_CDMV01000067.1    -         nhaA-I               RF03057    cm       41       50   169245   169254      +    no    1 0.90   0.0   10.1     7e+03 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_ANMK01000141.1    -         nhaA-I               RF03057    cm       41       50    28590    28599      +    no    1 0.90   0.0   10.1     7e+03 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp120 contig00169, whole genome shotgun sequence
NZ_ANML01000148.1    -         nhaA-I               RF03057    cm       41       50    90195    90204      +    no    1 0.90   0.0   10.1     7e+03 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp223 contig00173, whole genome shotgun sequence
NZ_ANMM01000010.1    -         nhaA-I               RF03057    cm       41       50    40385    40376      -    no    1 0.90   0.0   10.1     7e+03 ?   Lacticaseibacillus paracasei subsp. paracasei Lpp225 contig00010, whole genome shotgun sequence
NZ_MLFE01000005.1    -         nhaA-I               RF03057    cm       41       50   139275   139284      +    no    1 0.90   0.0   10.1     7e+03 ?   Pantoea allii strain LMG 24248 Contig0005_, whole genome shotgun sequence
NZ_CDMV01000001.1    -         nhaA-I               RF03057    cm       41       50    86470    86461      -    no    1 0.90   0.0   10.1     7e+03 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_LNAY01000703.1    -         nhaA-I               RF03057    cm       41       50       25       16      -    no    1 0.90   0.0   10.1     7e+03 ?   Mycobacterium avium subsp. hominissuis strain MAH-E-149-3 MAH-E-149-3_S4CLC_contig_524, whole genome shotgun sequence
NZ_LNAZ01000775.1    -         nhaA-I               RF03057    cm       41       50       31       22      -    no    1 0.90   0.0   10.1     7e+03 ?   Mycobacterium avium subsp. hominissuis strain MAH-E-149-7 MAH-E-149-7_S5CLC_contig_459, whole genome shotgun sequence
NZ_PYUR01000013.1    -         nhaA-I               RF03057    cm       41       50   112721   112730      +    no    1 0.90   0.0   10.1     7e+03 ?   Salmonella enterica subsp. enterica serovar Typhimurium strain OLF-FSR1-ST-44 6, whole genome shotgun sequence
NZ_MRZP01000001.1    -         nhaA-I               RF03057    cm       41       50   156598   156589      -    no    1 0.90   0.0   10.1     7e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_1_length_293101_cov_76.4829_ID_1, whole genome shotgun sequence
NZ_CABGVC010000001.1 -         nhaA-I               RF03057    cm       41       50   569562   569553      -    no    1 0.90   0.0   10.1     7e+03 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
NZ_VKDK01000001.1    -         nhaA-I               RF03057    cm       41       50   149879   149888      +    no    1 0.90   0.0   10.1     7e+03 ?   Corynebacterium aurimucosum strain 2274 NODE_1_length_276321_cov_275.669, whole genome shotgun sequence
NZ_MDCP01000044.1    -         nhaA-I               RF03057    cm       41       50    43465    43456      -    no    1 0.90   0.0   10.1     7e+03 ?   Geobacillus thermoleovorans strain N7 NODE_13_length_91759_cov_49.6271, whole genome shotgun sequence
NZ_NQXZ01000028.1    -         nhaA-I               RF03057    cm       41       50    30799    30808      +    no    1 0.90   0.0   10.1     7e+03 ?   Pseudomonas congelans strain RMX815.1a seq115_Contig28, whole genome shotgun sequence
NZ_NQYB01000151.1    -         nhaA-I               RF03057    cm       41       50    30619    30628      +    no    1 0.90   0.0   10.1     7e+03 ?   Pseudomonas congelans strain DM2.1.12.02A seq96_Contig188, whole genome shotgun sequence
NZ_CAKZ01000113.1    -         nhaA-I               RF03057    cm       41       50    56772    56781      +    no    1 0.90   0.0   10.1     7e+03 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_WJWO01000013.1    -         nhaA-I               RF03057    cm       41       50   145009   145018      +    no    1 0.90   0.0   10.1     7e+03 ?   Klebsiella pneumoniae strain CriePir26 NODE_13_length_192382_cov_49.4474, whole genome shotgun sequence
NZ_JAOA01000001.1    -         nhaA-I               RF03057    cm       41       50   384743   384734      -    no    1 0.90   0.0   10.1     7e+03 ?   Mycobacterium kansasii 662 gmk662.contig.0, whole genome shotgun sequence
NZ_JAOA01000002.1    -         nhaA-I               RF03057    cm       41       50   351338   351347      +    no    1 0.90   0.0   10.1     7e+03 ?   Mycobacterium kansasii 662 gmk662.contig.1, whole genome shotgun sequence
NZ_ACJD01000001.1    -         nhaA-I               RF03057    cm       41       50   147860   147851      -    no    1 0.90   0.0   10.1     7e+03 ?   Brucella ceti str. Cudo chromosome I VBI00081_1, whole genome shotgun sequence
NZ_BIMO01000008.1    -         nhaA-I               RF03057    cm       41       50   160661   160670      +    no    1 0.90   0.0   10.1     7e+03 ?   Stenotrophomonas pavanii strain Y contig8, whole genome shotgun sequence
NZ_LHMF01000025.1    -         nhaA-I               RF03057    cm       41       50   166025   166016      -    no    1 0.90   0.0   10.1     7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51240 N51240_contig_25, whole genome shotgun sequence
NZ_LHNW01000016.1    -         nhaA-I               RF03057    cm       41       50   113793   113802      +    no    1 0.90   0.0   10.1     7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N51287 N51287_contig_16, whole genome shotgun sequence
NZ_LHLX01000010.1    -         nhaA-I               RF03057    cm       41       50    70227    70218      -    no    1 0.90   0.0   10.1     7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50442 N50442_contig_10, whole genome shotgun sequence
NZ_LHLF01000006.1    -         nhaA-I               RF03057    cm       41       50   112334   112343      +    no    1 0.90   0.0   10.1     7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50420 N50420_contig_6, whole genome shotgun sequence
NZ_LHMA01000011.1    -         nhaA-I               RF03057    cm       41       50   113793   113802      +    no    1 0.90   0.0   10.1     7e+03 ?   Salmonella enterica subsp. enterica serovar 4,5,12:i:- strain CVM N50445 N50445_contig_11, whole genome shotgun sequence
NZ_JACJNF010000011.1 -         nhaA-I               RF03057    cm       41       50    58176    58167      -    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_11, whole genome shotgun sequence
NZ_JACJNC010000011.1 -         nhaA-I               RF03057    cm       41       50   104293   104302      +    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_11, whole genome shotgun sequence
NZ_JACJMT010000007.1 -         nhaA-I               RF03057    cm       41       50    20593    20602      +    no    1 0.90   0.0   10.1     7e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_07, whole genome shotgun sequence
NZ_CDMV01000015.1    -         nhaA-I               RF03057    cm       41       50   100110   100119      +    no    1 0.90   0.0   10.1     7e+03 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_JPTQ01000346.1    -         nhaA-I               RF03057    cm       41       50      197      188      -    no    1 0.90   0.0   10.1     7e+03 ?   Vibrio harveyi strain CAIM464 contig-20000002, whole genome shotgun sequence
NZ_MRZP01000002.1    -         nhaA-I               RF03057    cm       41       50   110337   110346      +    no    1 0.90   0.0   10.1     7e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_2_length_165211_cov_82.3962_ID_3, whole genome shotgun sequence
NZ_VKDJ01000002.1    -         nhaA-I               RF03057    cm       41       50   170788   170797      +    no    1 0.90   0.0   10.1     7e+03 ?   Corynebacterium aurimucosum strain 2226 NODE_2_length_219175_cov_43.1322, whole genome shotgun sequence
NZ_JABEAQ010000904.1 -         nhaA-I               RF03057    cm       41       50      245      254      +    no    1 0.90   0.0   10.1     7e+03 ?   Pantoea ananatis strain PNA_18_5S NODE_904_length_323_cov_42.247967, whole genome shotgun sequence
NZ_JAOA01000001.1    -         nhaA-I               RF03057    cm       41       50  1486926  1486917      -    no    1 0.90   0.0   10.1     7e+03 ?   Mycobacterium kansasii 662 gmk662.contig.0, whole genome shotgun sequence
NZ_CABVLX010000002.1 -         nhaA-I               RF03057    cm        1       55    41067    41040      -    no    1 0.79   0.0   10.1     7e+03 ?   Desulfovibrio diazotrophicus isolate Dwuxii, whole genome shotgun sequence
NZ_RSAJ01001244.1    -         nhaA-I               RF03057    cm        1       55      499      525      +    no    1 0.70   0.0   10.1     7e+03 ?   Streptomyces sp. RP5T NODE_1244_length_606_cov_0.985386, whole genome shotgun sequence
NZ_BIMO01000003.1    -         nhaA-I               RF03057    cm        1       55   537905   537967      +    no    1 0.73   0.0   10.0   7.1e+03 ?   Stenotrophomonas pavanii strain Y contig3, whole genome shotgun sequence
NZ_BIMO01000002.1    -         nhaA-I               RF03057    cm        1       55   149250   149295      +    no    1 0.72   0.0   10.0   7.1e+03 ?   Stenotrophomonas pavanii strain Y contig2, whole genome shotgun sequence
NZ_MLFE01000008.1    -         nhaA-I               RF03057    cm        1       55   140014   140060      +    no    1 0.64   0.0   10.0   7.1e+03 ?   Pantoea allii strain LMG 24248 Contig0008_, whole genome shotgun sequence
NZ_VKDJ01000005.1    -         nhaA-I               RF03057    cm        1       55   173826   173776      -    no    1 0.67   0.0   10.0   7.2e+03 ?   Corynebacterium aurimucosum strain 2226 NODE_5_length_189931_cov_50.2308, whole genome shotgun sequence
NZ_CDMV01000030.1    -         nhaA-I               RF03057    cm        1       55   111306   111205      -    no    1 0.67   0.1   10.0   7.2e+03 ?   Klebsiella variicola strain 801, whole genome shotgun sequence
NZ_VKUB01001179.1    -         nhaA-I               RF03057    cm       38       53      111       96      -    no    1 0.94   0.1   10.0   7.2e+03 ?   Klebsiella pneumoniae strain AS012426 AS012426_1179, whole genome shotgun sequence
NZ_VLFP01000203.1    -         nhaA-I               RF03057    cm       38       53      244      229      -    no    1 0.94   0.1   10.0   7.2e+03 ?   Stenotrophomonas maltophilia strain AS012723 AS012723_204, whole genome shotgun sequence
NZ_FXBD01000004.1    -         nhaA-I               RF03057    cm        1       55    31772    31840      +    no    1 0.72   0.1   10.0   7.2e+03 ?   Kocuria marina isolate Kocuria Marina TRE150902, whole genome shotgun sequence
NZ_PEDB01000111.1    -         nhaA-I               RF03057    cm        1       55    18021    17985      -    no    1 0.76   0.0   10.0   7.3e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000111, whole genome shotgun sequence
NZ_JAAQPR010000024.1 -         nhaA-I               RF03057    cm        1       55     1160     1202      +    no    1 0.67   0.0   10.0   7.3e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000118, whole genome shotgun sequence
NZ_CAKZ01000175.1    -         nhaA-I               RF03057    cm        1       55    51529    51598      +    no    1 0.59   0.0   10.0   7.3e+03 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_SZVD01000001.1    -         nhaA-I               RF03057    cm        1       55   106458   106517      +    no    1 0.68   0.0   10.0   7.3e+03 ?   Enterobacter ludwigii strain ES-1 NODE_1_length_287236_cov_172.076738, whole genome shotgun sequence
NZ_JACJNC010000022.1 -         nhaA-I               RF03057    cm        1       55    17644    17597      -    no    1 0.69   0.0   10.0   7.3e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_22, whole genome shotgun sequence
NZ_JACJMT010000006.1 -         nhaA-I               RF03057    cm        1       55   333769   333816      +    no    1 0.69   0.0   10.0   7.3e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_06, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         nhaA-I               RF03057    cm        1       55  1768673  1768608      -    no    1 0.58   0.0   10.0   7.4e+03 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_JAFNJK010000238.1 -         nhaA-I               RF03057    cm       37       54      131      148      +    no    1 0.94   0.2   10.0   7.4e+03 ?   Bordetella holmesii strain CIDM-BH1 Bh_C238, whole genome shotgun sequence
NZ_MRVD01000019.1    -         nhaA-I               RF03057    cm        1       55    44083    44018      -    no    1 0.65   0.0    9.9   7.5e+03 ?   Ensifer adhaerens strain X097 Scaffold27, whole genome shotgun sequence
NZ_MRZP01000024.1    -         nhaA-I               RF03057    cm        1       55    67673    67632      -    no    1 0.69   0.0    9.9   7.5e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_24_length_71792_cov_72.1165_ID_47, whole genome shotgun sequence
NZ_JYOF01000004.1    -         nhaA-I               RF03057    cm        1       55   347259   347312      +    no    1 0.67   0.0    9.9   7.6e+03 ?   Pseudomonas sp. 2(2015) contig4, whole genome shotgun sequence
NZ_PEDB01000140.1    -         nhaA-I               RF03057    cm       39       52   138347   138334      -    no    1 1.00   0.3    9.9   7.6e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000140, whole genome shotgun sequence
NZ_JACJMT010000004.1 -         nhaA-I               RF03057    cm       39       52   366014   366001      -    no    1 1.00   0.3    9.9   7.6e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_04, whole genome shotgun sequence
NZ_LTBH01000006.1    -         nhaA-I               RF03057    cm        1       55    53104    53046      -    no    1 0.56   0.0    9.9   7.6e+03 ?   Corynebacterium striatum strain 2247 lasergene_1_len_T_210181, whole genome shotgun sequence
NZ_LBCN01000018.1    -         nhaA-I               RF03057    cm        1       55    34631    34573      -    no    1 0.56   0.0    9.9   7.6e+03 ?   Corynebacterium striatum strain 2023 Consensus_from_Contig_7_mapping, whole genome shotgun sequence
NZ_JADWXL010000060.1 -         nhaA-I               RF03057    cm        1       55      186      218      +    no    1 0.48   0.0    9.9   7.7e+03 ?   Mycobacteroides abscessus subsp. massiliense strain GD60 60, whole genome shotgun sequence
NZ_MRVD01000059.1    -         nhaA-I               RF03057    cm        1       55     6057     6106      +    no    1 0.64   0.0    9.9   7.7e+03 ?   Ensifer adhaerens strain X097 Scaffold87, whole genome shotgun sequence
NZ_JAJNSX010000004.1 -         nhaA-I               RF03057    cm        1       55    21155    21116      -    no    1 0.70   0.0    9.9   7.7e+03 ?   Lactobacillus delbrueckii subsp. bulgaricus strain FAM 22166 FAM22166-i1-1_scf4, whole genome shotgun sequence
NZ_PRGG01000036.1    -         nhaA-I               RF03057    cm        1       55   163655   163619      -    no    1 0.51   0.0    9.9   7.7e+03 ?   Acinetobacter baumannii strain AB-HZ-S15 sp_sm_15_ctg036_462575, whole genome shotgun sequence
NZ_BJKF01000035.1    -         nhaA-I               RF03057    cm        1       55    56037    56073      +    no    1 0.51   0.0    9.9   7.7e+03 ?   Acinetobacter baumannii strain NIPH17_0019 contig_35, whole genome shotgun sequence
NZ_QPZG01000048.1    -         nhaA-I               RF03057    cm       29       55        1       27      +    5'    2 0.70   0.0    9.9   7.7e+03 ?   Enterococcus faecalis strain 10-6-50 NODE_48_length_264_cov_1.57219_ID_1985, whole genome shotgun sequence
NZ_JACJNF010000001.1 -         nhaA-I               RF03057    cm       28       55   788479   788508      +    no    1 0.70   0.0    9.9   7.7e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4042 Ga0394368_01, whole genome shotgun sequence
NZ_JACJMT010000002.1 -         nhaA-I               RF03057    cm       28       55   176109   176080      -    no    1 0.70   0.0    9.9   7.7e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_02, whole genome shotgun sequence
NZ_JOFB01000505.1    -         nhaA-I               RF03057    cm        1       55       40       81      +    no    1 0.62   0.0    9.9   7.8e+03 ?   Streptomyces exfoliatus strain NRRL B-2924 contig505.1, whole genome shotgun sequence
NZ_RCIN01000002.1    -         nhaA-I               RF03057    cm        1       55    80020    80066      +    no    1 0.55   0.0    9.9   7.8e+03 ?   Proteus mirabilis strain L90 NODE_2_length_381854_cov_49.3654, whole genome shotgun sequence
NZ_JYOF01000003.1    -         nhaA-I               RF03057    cm        1       55   200688   200767      +    no    1 0.60   0.0    9.9   7.8e+03 ?   Pseudomonas sp. 2(2015) contig3, whole genome shotgun sequence
NZ_JTCJ01000001.1    -         nhaA-I               RF03057    cm        1       55    13176    13145      -    no    1 0.59   0.0    9.9   7.8e+03 ?   Pseudomonas putida strain SQ1 Contig_277_PpSQ1, whole genome shotgun sequence
NZ_JAHEAI010000001.1 -         nhaA-I               RF03057    cm        1       55   920193   920236      +    no    1 0.48   0.0    9.9   7.8e+03 ?   Flavihumibacter fluminis strain IMCC34837 NODE_1_length_4996758_cov_32.528644, whole genome shotgun sequence
NZ_JACJNC010000015.1 -         nhaA-I               RF03057    cm       35       55   178983   178963      -    no    1 0.86   0.1    9.9   7.8e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_15, whole genome shotgun sequence
NZ_JACJMT010000009.1 -         nhaA-I               RF03057    cm       35       55   237915   237935      +    no    1 0.86   0.1    9.9   7.8e+03 ?   UNVERIFIED_ORG: Rhizobium pisi strain 27/80 Ga0394392_09, whole genome shotgun sequence
NZ_BIMO01000010.1    -         nhaA-I               RF03057    cm       36       55    84868    84886      +    no    1 0.74   0.0    9.9   7.8e+03 ?   Stenotrophomonas pavanii strain Y contig10, whole genome shotgun sequence
NZ_FXBD01000007.1    -         nhaA-I               RF03057    cm       39       52    21919    21906      -    no    1 0.79   0.0    9.9   7.8e+03 ?   Kocuria marina isolate Kocuria Marina TRE150902, whole genome shotgun sequence
NZ_JACJNC010000024.1 -         nhaA-I               RF03057    cm       39       52    66254    66241      -    no    1 0.79   0.0    9.9   7.8e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_24, whole genome shotgun sequence
NZ_JTCJ01000131.1    -         nhaA-I               RF03057    cm       39       52     5625     5612      -    no    1 0.79   0.0    9.9   7.8e+03 ?   Pseudomonas putida strain SQ1 Contig_27_PpSQ1, whole genome shotgun sequence
NZ_WJWO01000001.1    -         nhaA-I               RF03057    cm        4       55   210072   210122      +    no    1 0.69   0.0    9.9   7.9e+03 ?   Klebsiella pneumoniae strain CriePir26 NODE_1_length_350888_cov_56.4399, whole genome shotgun sequence
NZ_CAKZ01000105.1    -         nhaA-I               RF03057    cm       36       55     5760     5781      +    no    1 0.82   0.0    9.9   7.9e+03 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_JAOA01000009.1    -         nhaA-I               RF03057    cm        1       55   190709   190657      -    no    1 0.68   0.0    9.9   7.9e+03 ?   Mycobacterium kansasii 662 gmk662.contig.8, whole genome shotgun sequence
NZ_MLFE01000033.1    -         nhaA-I               RF03057    cm        1       55     2153     2213      +    no    1 0.69   0.0    9.9   7.9e+03 ?   Pantoea allii strain LMG 24248 Contig0033_, whole genome shotgun sequence
NZ_JYOF01000005.1    -         nhaA-I               RF03057    cm        1       55    36538    36588      +    no    1 0.73   0.0    9.8   7.9e+03 ?   Pseudomonas sp. 2(2015) contig5, whole genome shotgun sequence
NZ_LAYQ01000009.1    -         nhaA-I               RF03057    cm        1       55    67369    67283      -    no    1 0.69   0.0    9.8   7.9e+03 ?   Corynebacterium minutissimum strain 1941 Contig_9, whole genome shotgun sequence
NZ_VKDG01000002.1    -         nhaA-I               RF03057    cm        1       55    28749    28827      +    no    1 0.66   0.0    9.8   7.9e+03 ?   Corynebacterium aurimucosum strain 2271 NODE_2_length_240435_cov_71.9996, whole genome shotgun sequence
NZ_VKDH01000004.1    -         nhaA-I               RF03057    cm        1       55   199160   199238      +    no    1 0.66   0.0    9.8   7.9e+03 ?   Corynebacterium aurimucosum strain 2218 NODE_4_length_201296_cov_167.289, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  1152874  1152826      -    no    1 0.61   0.0    9.8   7.9e+03 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_JACJNC010000018.1 -         nhaA-I               RF03057    cm        1       55    48080    48129      +    no    1 0.70   0.0    9.8   7.9e+03 ?   UNVERIFIED_ORG: Rhizobium esperanzae strain SEMIA 4002 Ga0394350_18, whole genome shotgun sequence
NZ_SEIL01000045.1    -         nhaA-I               RF03057    cm        1       55     8712     8657      -    no    1 0.45   0.0    9.8     8e+03 ?   Acinetobacter lwoffii strain AL_065 NODE_44_length_26114_cov_35.252, whole genome shotgun sequence
NZ_BIMO01000001.1    -         nhaA-I               RF03057    cm        1       55   786206   786144      -    no    1 0.68   0.0    9.8   8.1e+03 ?   Stenotrophomonas pavanii strain Y contig1, whole genome shotgun sequence
NZ_JAJNSX010000013.1 -         nhaA-I               RF03057    cm        1       55    46850    46794      -    no    1 0.65   0.0    9.8   8.1e+03 ?   Lactobacillus delbrueckii subsp. bulgaricus strain FAM 22166 FAM22166-i1-1_scf13, whole genome shotgun sequence
NZ_JPGN01000021.1    -         nhaA-I               RF03057    cm        1       55    40458    40413      -    no    1 0.67   0.0    9.8   8.1e+03 ?   Nitrosococcus oceani C-27 contig_62, whole genome shotgun sequence
NZ_VKDK01000022.1    -         nhaA-I               RF03057    cm        1       55    21180    21142      -    no    1 0.69   0.0    9.8   8.1e+03 ?   Corynebacterium aurimucosum strain 2274 NODE_22_length_44254_cov_227.45, whole genome shotgun sequence
NZ_PEDB01000033.1    -         nhaA-I               RF03057    cm        1       55    78501    78564      +    no    1 0.73   0.0    9.8   8.1e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000033, whole genome shotgun sequence
NZ_JAFFPQ010000001.1 -         nhaA-I               RF03057    cm        1       55  1999844  1999900      +    no    1 0.72   0.0    9.8   8.1e+03 ?   Flagellatimonas centrodinii strain R2A-3 contig1, whole genome shotgun sequence
NZ_PEDB01000031.1    -         nhaA-I               RF03057    cm        1       55    58834    58794      -    no    1 0.68   0.0    9.8   8.1e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000031, whole genome shotgun sequence
NZ_SZVD01000039.1    -         nhaA-I               RF03057    cm        1       55    15202    15149      -    no    1 0.61   0.0    9.8   8.1e+03 ?   Enterobacter ludwigii strain ES-1 NODE_39_length_40192_cov_179.753509, whole genome shotgun sequence
NZ_VDSU01000783.1    -         nhaA-I               RF03057    cm        1       55       65       32      -    no    1 0.56   0.0    9.8   8.1e+03 ?   Corynebacterium aurimucosum strain DE0418 NODE_783_length_224_cov_0.534161, whole genome shotgun sequence
NZ_CAKZ01000115.1    -         nhaA-I               RF03057    cm        1       55    34046    34081      +    no    1 0.61   0.0    9.8   8.2e+03 ?   Cronobacter dublinensis 1210, whole genome shotgun sequence
NZ_RQJB01000383.1    -         nhaA-I               RF03057    cm       40       51       48       37      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Streptomyces sp. WAC05950 AA000327-304_WAC05950, whole genome shotgun sequence
NZ_CABKNY010000008.1 -         nhaA-I               RF03057    cm       40       51   224814   224803      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Citrobacter youngae isolate MGYG-HGUT-01317, whole genome shotgun sequence
NZ_PEDB01000085.1    -         nhaA-I               RF03057    cm       40       51   108297   108286      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Mycobacterium marinum strain DSM 43519 DSM43519_contig000085, whole genome shotgun sequence
NZ_VJZB01000071.1    -         nhaA-I               RF03057    cm       40       51    36485    36474      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Amycolatopsis bartoniae strain DSM 45807 NODE_71_length_40477_cov_20.2118, whole genome shotgun sequence
NZ_MABW01000566.1    -         nhaA-I               RF03057    cm       40       51       78       89      +    no    1 1.00   0.1    9.8   8.2e+03 ?   Acinetobacter baumannii strain 29D2 contig_580, whole genome shotgun sequence
NZ_JAJNSX010000015.1 -         nhaA-I               RF03057    cm       40       51    19273    19262      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Lactobacillus delbrueckii subsp. bulgaricus strain FAM 22166 FAM22166-i1-1_scf15, whole genome shotgun sequence
NZ_JAAQPR010000006.1 -         nhaA-I               RF03057    cm       40       51    16995    17006      +    no    1 1.00   0.1    9.8   8.2e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000056, whole genome shotgun sequence
NZ_MRZP01000020.1    -         nhaA-I               RF03057    cm       40       51    55440    55429      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Aeromonas allosaccharophila strain CCM 4363 NODE_20_length_85228_cov_80.1243_ID_39, whole genome shotgun sequence
NZ_BADM01000672.1    -         nhaA-I               RF03057    cm       40       51      101       90      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Enterobacter sp. B509, whole genome shotgun sequence
NZ_JOBX01000187.1    -         nhaA-I               RF03057    cm       40       51      264      275      +    no    1 1.00   0.1    9.8   8.2e+03 ?   Streptomyces sp. NRRL S-378 contig187.1, whole genome shotgun sequence
NZ_JAAQPR010000011.1 -         nhaA-I               RF03057    cm       40       51    44365    44354      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000086, whole genome shotgun sequence
NZ_JAAQPR010000074.1 -         nhaA-I               RF03057    cm       40       51     2593     2582      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Pseudonocardia cytotoxica strain MCCB 268 tig00000558, whole genome shotgun sequence
NZ_JTCJ01000094.1    -         nhaA-I               RF03057    cm       40       51     4377     4366      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Pseudomonas putida strain SQ1 Contig_176_PpSQ1, whole genome shotgun sequence
NZ_CABGVC010000001.1 -         nhaA-I               RF03057    cm       40       51   625804   625793      -    no    1 1.00   0.1    9.8   8.2e+03 ?   Klebsiella pneumoniae strain 4928STDY7071672, whole genome shotgun sequence
